sp_code,subfamily,genus,guild,regions,sites,elevational_bands,transect_number,trap_number_code,elevation,latitude,longitude,bait_type,abundance,seasons,dates,habitat,exposure_time,et_pcode,exl_food_pref,excl_occupancy
NA,NA,NA,NA,png,png_200_m,200,1,200_fp_h_013_b,209,-5.73633,145.3345,lipid,0,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
anop_001,formicinae,anoplolepis,generalistic,png,png_200_m,200,1,200_fp_h_014_b,214,-5.73633,145.33449,nacl,2,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
mono_002,myrmicinae,monomorium,generalistic,png,png_200_m,200,1,200_fp_h_014_b,214,-5.73633,145.33449,nacl,1,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
mono_002,myrmicinae,monomorium,generalistic,png,png_200_m,200,1,200_fp_h_015_b,215,-5.73611,145.33434,h2o,2,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,1,200_fp_h_016_b,216,-5.73593,145.33442,cho,0,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
mono_002,myrmicinae,monomorium,generalistic,png,png_200_m,200,1,200_fp_h_017_b,220,-5.73594,145.3343,cho_amino_acid,4,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,1,200_fp_h_018_b,221,-5.7359,145.33431,amino_acid,0,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
care_003,myrmicinae,carebara,predator_scavenger,png,png_200_m,200,1,200_fp_h_019_b,219,-5.7359,145.3343,lipid,1,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
mono_002,myrmicinae,monomorium,generalistic,png,png_200_m,200,1,200_fp_h_019_b,219,-5.7359,145.3343,lipid,2,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
care_007,myrmicinae,carebara,predator_scavenger,png,png_200_m,200,1,200_fp_h_019_b,219,-5.7359,145.3343,lipid,1,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
anop_001,formicinae,anoplolepis,generalistic,png,png_200_m,200,1,200_fp_h_020_b,223,-5.73586,145.33421,nacl,4,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,1,200_fp_h_021_b,225,-5.73584,145.33422,h2o,0,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,1,200_fp_h_022_b,224,-5.73573,145.33411,cho,0,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
anop_001,formicinae,anoplolepis,generalistic,png,png_200_m,200,1,200_fp_h_023_b,223,-5.73574,145.33407,cho_amino_acid,2,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
pseu_001,formicinae,pseudolasius,generalistic,png,png_200_m,200,1,200_fp_h_024_b,224,-5.73558,145.33414,amino_acid,1,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
anop_001,formicinae,anoplolepis,generalistic,png,png_200_m,200,1,200_fp_h_025_b,223,-5.73554,145.33403,amino_acid,2,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
anop_001,formicinae,anoplolepis,generalistic,png,png_200_m,200,1,200_fp_h_026_b,218,-5.73547,145.33395,cho_amino_acid,48,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
phei_051,myrmicinae,pheidole,generalistic,png,png_200_m,200,1,200_fp_h_027_b,221,-5.7353,145.33391,cho,13,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,1,200_fp_h_028_b,220,-5.73523,145.33386,h2o,0,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
